cancelacion,genero,jubilado,en_pareja,dependientes,meses_contrato,servicio_telefonico,multiples_lineas,servicio_internet,seguridad_online,respaldo_online,proteccion_dispositivo,soporte_efectivo,streaming_TV,streaming_peliculas,tipo_contrato,facturacion_electronica,metodo_pago,cuenta_mensual,cuentas_total,cuentas_diarias
0,Masculino,No,Si,Si,31,Si,No,No,No,No,No,No,No,No,mes a mes,Si,cheque electronico,20.65,702.05,0.022204301075268815
0,Masculino,No,Si,Si,70,Si,Si,DSL,Si,Si,Si,Si,No,Si,un year,No,transferencia,78.35,5445.95,0.037309523809523806
0,Masculino,No,Si,Si,53,Si,Si,DSL,Si,No,Si,Si,Si,Si,mes a mes,No,cheque electronico,85.7,4616.1,0.05389937106918239
1,Masculino,No,No,No,1,Si,No,No,No,No,No,No,No,No,mes a mes,Si,transferencia,20.2,20.2,0.6733333333333333
0,Femenino,No,Si,Si,10,Si,No,No,No,No,No,No,No,No,dos years,No,cheque por correo,20.15,220.8,0.06716666666666667
1,Femenino,Si,No,No,1,No,sin servicio teleonico,DSL,No,No,No,No,No,No,mes a mes,Si,cheque por correo,25.7,25.7,0.8566666666666667
0,Femenino,No,Si,No,29,Si,No,No,No,No,No,No,No,No,mes a mes,No,cheque por correo,19.85,573.05,0.02281609195402299
0,Masculino,No,Si,Si,59,Si,No,DSL,Si,Si,Si,Si,Si,Si,dos years,Si,cheque electronico,86.75,5186.0,0.04901129943502825
1,Masculino,No,No,No,2,Si,No,DSL,No,No,No,No,No,No,mes a mes,No,cheque por correo,45.85,81.0,0.7641666666666667
1,Femenino,No,No,No,58,Si,No,Fibra_optica,Si,Si,Si,No,Si,Si,un year,Si,cheque electronico,106.45,6145.85,0.06117816091954023
0,Masculino,No,Si,Si,45,Si,Si,DSL,Si,Si,No,Si,Si,No,dos years,No,tarjeta de credito,73.85,3371.0,0.0547037037037037
0,Masculino,No,No,No,12,Si,No,Fibra_optica,No,No,No,No,Si,No,mes a mes,Si,cheque electronico,81.45,912.0,0.22625
1,Femenino,No,No,No,12,Si,No,Fibra_optica,No,No,Si,Si,No,Si,mes a mes,Si,cheque electronico,89.4,1095.65,0.24833333333333335
0,Masculino,No,Si,No,33,Si,No,DSL,No,No,No,No,No,No,mes a mes,Si,tarjeta de credito,44.55,1462.6,0.045
1,Femenino,No,No,No,9,Si,No,DSL,Si,Si,No,No,Si,Si,mes a mes,Si,cheque electronico,74.65,703.55,0.2764814814814815
1,Masculino,No,Si,Si,7,Si,No,Fibra_optica,No,Si,No,Si,Si,No,mes a mes,Si,cheque electronico,89.75,608.8,0.42738095238095236
0,Masculino,No,Si,Si,66,Si,Si,DSL,No,No,Si,No,Si,No,dos years,Si,transferencia,63.3,4189.7,0.03196969696969697
1,Masculino,No,Si,Si,52,Si,Si,Fibra_optica,No,No,Si,Si,No,Si,dos years,Si,transferencia,96.25,4990.25,0.06169871794871795
0,Femenino,No,Si,No,49,No,sin servicio teleonico,DSL,Si,No,No,No,Si,No,mes a mes,No,transferencia,40.65,2070.75,0.027653061224489794
0,Femenino,No,Si,Si,61,Si,No,DSL,Si,No,No,No,No,No,un year,Si,transferencia,49.7,2961.4,0.027158469945355194
0,Femenino,No,No,No,24,Si,Si,No,No,No,No,No,No,No,dos years,No,tarjeta de credito,25.15,553.0,0.034930555555555555
0,Femenino,No,No,No,1,Si,No,DSL,No,No,No,Si,No,No,mes a mes,Si,cheque electronico,49.9,49.9,1.6633333333333333
0,Masculino,No,Si,Si,17,Si,Si,DSL,Si,No,No,Si,No,No,un year,Si,cheque por correo,62.1,1096.65,0.12176470588235294
0,Femenino,No,No,No,12,Si,No,No,No,No,No,No,No,No,mes a mes,No,cheque por correo,20.4,266.6,0.056666666666666664
1,Masculino,No,No,No,1,Si,Si,DSL,No,No,Si,Si,No,No,mes a mes,No,cheque por correo,62.05,62.05,2.0683333333333334
0,Masculino,Si,Si,No,61,Si,Si,Fibra_optica,No,Si,Si,Si,Si,No,un year,Si,cheque por correo,98.3,6066.55,0.05371584699453552
0,Masculino,No,No,No,27,Si,No,DSL,Si,No,Si,Si,Si,No,un year,No,tarjeta de credito,69.35,1927.3,0.08561728395061728
0,Femenino,No,Si,Si,48,Si,No,Fibra_optica,Si,No,Si,No,Si,Si,un year,Si,transferencia,99.7,4977.2,0.06923611111111111
0,Masculino,No,Si,No,71,Si,Si,Fibra_optica,Si,Si,Si,No,Si,No,dos years,Si,cheque electronico,99.0,6994.6,0.04647887323943662
0,Femenino,No,Si,Si,4,Si,Si,DSL,No,Si,No,Si,No,No,mes a mes,Si,cheque por correo,58.5,224.85,0.4875
0,Masculino,No,Si,No,61,Si,Si,Fibra_optica,Si,Si,No,No,Si,Si,mes a mes,Si,cheque electronico,106.2,6375.2,0.0580327868852459
0,Femenino,No,No,No,31,Si,Si,Fibra_optica,Si,Si,No,No,Si,Si,mes a mes,No,cheque electronico,104.35,3205.6,0.11220430107526881
1,Femenino,No,Si,No,32,Si,No,Fibra_optica,No,Si,No,No,No,Si,mes a mes,No,transferencia,84.15,2585.95,0.08765625
0,Femenino,No,No,No,30,Si,Si,Fibra_optica,Si,No,No,Si,Si,Si,mes a mes,No,transferencia,106.4,3211.9,0.11822222222222223
0,Femenino,No,Si,Si,55,Si,No,No,No,No,No,No,No,No,mes a mes,No,tarjeta de credito,20.0,1087.25,0.012121212121212121
0,Femenino,No,Si,No,42,Si,No,No,No,No,No,No,No,No,mes a mes,No,tarjeta de credito,20.35,869.9,0.01615079365079365
1,Femenino,No,Si,Si,70,Si,Si,Fibra_optica,Si,Si,Si,Si,Si,Si,dos years,Si,transferencia,114.2,7723.9,0.054380952380952384
0,Femenino,No,Si,Si,71,Si,Si,No,No,No,No,No,No,No,dos years,No,tarjeta de credito,23.9,1663.5,0.011220657276995304
0,Femenino,No,No,No,43,Si,Si,Fibra_optica,Si,Si,Si,Si,Si,Si,dos years,No,tarjeta de credito,115.05,4895.1,0.08918604651162791
0,Masculino,No,No,No,19,No,sin servicio teleonico,DSL,No,No,No,No,No,No,mes a mes,Si,transferencia,25.15,468.35,0.044122807017543855
0,Masculino,No,Si,Si,19,Si,No,No,No,No,No,No,No,No,un year,No,cheque por correo,19.8,344.5,0.034736842105263156
0,Femenino,No,No,No,12,Si,No,No,No,No,No,No,No,No,mes a mes,No,cheque por correo,19.7,220.35,0.05472222222222222
0,Masculino,No,No,No,4,Si,No,DSL,No,Si,No,Si,Si,No,mes a mes,Si,transferencia,63.75,226.2,0.53125
1,Femenino,Si,No,No,13,Si,Si,Fibra_optica,No,No,No,No,No,Si,mes a mes,Si,cheque electronico,82.0,1127.2,0.21025641025641026
1,Femenino,No,No,Si,4,Si,Si,Fibra_optica,No,Si,Si,No,No,No,mes a mes,No,transferencia,84.05,333.55,0.7004166666666667
1,Masculino,No,No,No,8,Si,Si,Fibra_optica,No,Si,Si,No,Si,No,mes a mes,Si,cheque electronico,94.0,773.65,0.39166666666666666
0,Masculino,Si,Si,No,70,Si,Si,DSL,Si,Si,Si,Si,Si,Si,dos years,No,tarjeta de credito,90.05,6333.4,0.04288095238095238
0,Masculino,No,Si,Si,68,Si,Si,DSL,Si,Si,Si,Si,Si,Si,dos years,Si,tarjeta de credito,92.2,6392.85,0.04519607843137255
1,Masculino,No,Si,No,5,Si,Si,Fibra_optica,No,Si,No,No,No,No,mes a mes,Si,cheque electronico,78.75,412.1,0.525
1,Masculino,No,No,No,12,Si,Si,Fibra_optica,No,No,No,Si,Si,Si,mes a mes,Si,cheque por correo,99.95,1132.75,0.2776388888888889
0,Masculino,No,Si,Si,57,Si,No,Fibra_optica,No,Si,Si,No,Si,Si,un year,Si,tarjeta de credito,97.55,5598.0,0.05704678362573099
0,Femenino,No,Si,Si,51,Si,No,No,No,No,No,No,No,No,dos years,No,cheque por correo,19.95,1028.75,0.01303921568627451
0,Femenino,No,No,No,4,Si,No,DSL,Si,Si,No,No,No,No,mes a mes,No,cheque electronico,55.2,220.65,0.46
0,Masculino,Si,Si,No,70,Si,No,Fibra_optica,Si,Si,Si,No,Si,Si,dos years,No,tarjeta de credito,105.35,7511.9,0.050166666666666665
1,Femenino,No,Si,No,30,Si,No,No,No,No,No,No,No,No,mes a mes,No,transferencia,19.65,655.85,0.021833333333333333
1,Masculino,No,No,No,7,Si,Si,Fibra_optica,No,No,Si,No,Si,No,mes a mes,Si,cheque electronico,90.45,593.45,0.4307142857142857
0,Masculino,Si,No,No,19,Si,No,Fibra_optica,Si,No,No,No,No,Si,mes a mes,Si,cheque electronico,87.3,1637.3,0.1531578947368421
1,Masculino,No,No,No,1,Si,Si,DSL,No,Si,No,Si,No,No,mes a mes,No,cheque por correo,60.1,60.1,2.0033333333333334
1,Masculino,No,No,No,12,Si,Si,Fibra_optica,No,Si,Si,Si,Si,Si,mes a mes,Si,cheque por correo,112.95,1384.75,0.31375000000000003
1,Masculino,No,No,No,17,Si,No,DSL,No,No,No,Si,No,No,mes a mes,No,cheque por correo,51.5,900.5,0.10098039215686275
1,Masculino,Si,Si,Si,66,Si,Si,Fibra_optica,No,No,Si,No,Si,Si,mes a mes,Si,tarjeta de credito,99.5,6822.15,0.05025252525252525
1,Masculino,No,No,No,3,Si,No,DSL,No,No,No,No,No,No,mes a mes,Si,cheque electronico,45.35,141.5,0.5038888888888889
0,Masculino,Si,Si,No,51,Si,Si,Fibra_optica,Si,No,Si,No,No,Si,un year,Si,transferencia,93.65,4839.15,0.06120915032679739
1,Masculino,No,No,No,51,Si,Si,Fibra_optica,No,No,Si,No,No,No,mes a mes,No,tarjeta de credito,80.0,4242.35,0.05228758169934641
0,Femenino,No,Si,No,71,Si,No,No,No,No,No,No,No,No,dos years,No,tarjeta de credito,19.85,1379.6,0.009319248826291081
1,Masculino,No,No,No,35,Si,Si,Fibra_optica,No,No,No,No,No,No,mes a mes,No,tarjeta de credito,75.35,2636.05,0.07176190476190476
0,Femenino,No,No,No,11,Si,No,DSL,No,Si,No,No,No,No,mes a mes,No,cheque electronico,51.1,531.15,0.15484848484848485
1,Femenino,No,No,No,2,Si,No,DSL,No,No,Si,Si,Si,Si,mes a mes,No,cheque electronico,76.4,160.8,1.2733333333333334
1,Femenino,Si,No,No,26,Si,Si,Fibra_optica,Si,Si,No,No,No,Si,mes a mes,Si,cheque electronico,95.0,2497.2,0.12179487179487179
0,Masculino,No,Si,Si,60,Si,Si,No,No,No,No,No,No,No,un year,No,tarjeta de credito,23.95,1506.4,0.013305555555555555
0,Masculino,No,Si,Si,62,Si,No,Fibra_optica,Si,Si,No,No,No,No,un year,Si,tarjeta de credito,81.45,4983.05,0.043790322580645163
0,Femenino,No,No,No,12,Si,No,DSL,No,No,No,No,No,No,mes a mes,Si,transferencia,45.0,524.35,0.125
1,Femenino,No,No,No,4,Si,Si,Fibra_optica,No,No,No,No,No,No,mes a mes,No,cheque electronico,75.35,338.1,0.6279166666666666
0,Masculino,Si,No,No,45,Si,Si,Fibra_optica,No,No,No,No,Si,Si,mes a mes,Si,transferencia,93.9,4200.25,0.06955555555555556
1,Femenino,No,No,No,1,Si,No,DSL,No,No,No,No,No,No,mes a mes,No,cheque electronico,45.15,45.15,1.505
0,Femenino,No,No,No,8,Si,No,No,No,No,No,No,No,No,mes a mes,Si,cheque por correo,20.7,137.6,0.08625
1,Femenino,No,No,No,2,Si,Si,Fibra_optica,No,No,No,No,No,No,mes a mes,Si,cheque electronico,75.9,143.35,1.2650000000000001
0,Femenino,No,Si,No,68,Si,Si,No,No,No,No,No,No,No,dos years,Si,tarjeta de credito,24.95,1614.9,0.012230392156862745
0,Femenino,No,Si,No,36,Si,Si,Fibra_optica,Si,Si,Si,Si,No,Si,dos years,Si,tarjeta de credito,106.05,3834.4,0.09819444444444445
0,Femenino,No,No,No,1,Si,No,No,No,No,No,No,No,No,mes a mes,Si,cheque por correo,19.55,19.55,0.6516666666666667
1,Femenino,No,Si,No,42,No,sin servicio teleonico,DSL,No,Si,No,Si,No,No,un year,No,cheque por correo,33.55,1445.3,0.026626984126984124
1,Masculino,Si,No,No,5,Si,Si,Fibra_optica,No,Si,No,No,No,Si,mes a mes,Si,cheque electronico,89.8,502.6,0.5986666666666667
1,Femenino,No,No,No,10,Si,No,Fibra_optica,Si,No,No,No,Si,No,mes a mes,Si,cheque por correo,84.7,832.05,0.2823333333333333
1,Femenino,No,Si,Si,68,Si,Si,Fibra_optica,No,No,No,No,Si,No,un year,Si,cheque electronico,83.0,5685.8,0.04068627450980392
1,Masculino,Si,Si,No,20,Si,Si,Fibra_optica,No,No,No,No,Si,Si,mes a mes,Si,cheque electronico,94.55,1899.65,0.15758333333333333
0,Femenino,No,No,No,29,Si,No,No,No,No,No,No,No,No,dos years,No,cheque por correo,19.4,554.25,0.02229885057471264
0,Masculino,No,No,No,1,Si,No,Fibra_optica,No,Si,No,No,No,Si,mes a mes,Si,cheque electronico,85.0,85.0,2.8333333333333335
0,Femenino,No,No,No,14,Si,No,DSL,Si,No,No,No,No,No,mes a mes,No,transferencia,50.1,709.5,0.11928571428571429
0,Femenino,No,No,No,5,Si,No,DSL,No,No,No,No,No,No,mes a mes,Si,tarjeta de credito,44.05,202.15,0.29366666666666663
0,Femenino,No,No,Si,19,Si,No,No,No,No,No,No,No,No,dos years,No,cheque por correo,20.5,398.55,0.035964912280701755
0,Masculino,Si,Si,No,71,Si,Si,No,No,No,No,No,No,No,dos years,No,tarjeta de credito,25.45,1789.65,0.011948356807511737
0,Masculino,Si,No,No,4,No,sin servicio teleonico,DSL,No,Si,No,No,Si,Si,mes a mes,Si,tarjeta de credito,50.95,207.35,0.42458333333333337
0,Femenino,No,No,No,1,Si,No,Fibra_optica,No,No,No,No,No,No,mes a mes,Si,cheque electronico,70.25,70.25,2.341666666666667
0,Masculino,No,No,Si,6,Si,No,No,No,No,No,No,No,No,mes a mes,Si,cheque por correo,20.2,98.35,0.11222222222222222
0,Femenino,Si,Si,Si,32,Si,Si,Fibra_optica,No,Si,No,No,Si,Si,mes a mes,Si,cheque electronico,100.4,3217.65,0.10458333333333333
0,Femenino,No,Si,No,68,Si,Si,DSL,Si,Si,Si,Si,Si,Si,dos years,Si,cheque electronico,91.7,6424.7,0.044950980392156864
1,Femenino,No,Si,Si,33,Si,No,Fibra_optica,No,No,Si,No,Si,Si,un year,Si,cheque electronico,93.8,3124.5,0.09474747474747475
0,Femenino,No,No,No,63,Si,Si,Fibra_optica,No,Si,Si,Si,Si,Si,mes a mes,Si,tarjeta de credito,109.85,7002.95,0.058121693121693116
0,Masculino,No,Si,No,53,Si,No,No,No,No,No,No,No,No,dos years,No,tarjeta de credito,19.9,1110.05,0.012515723270440251
1,Masculino,Si,No,No,18,Si,Si,Fibra_optica,No,No,No,No,Si,Si,mes a mes,Si,cheque electronico,95.45,1752.55,0.17675925925925925
0,Femenino,Si,No,No,6,Si,No,Fibra_optica,Si,No,No,No,No,No,mes a mes,Si,cheque electronico,74.1,450.9,0.4116666666666666
0,Femenino,Si,Si,Si,59,Si,Si,Fibra_optica,No,No,Si,No,No,Si,mes a mes,Si,tarjeta de credito,88.75,5348.65,0.05014124293785311
1,Masculino,No,No,No,1,Si,No,DSL,No,No,Si,No,No,No,mes a mes,Si,cheque por correo,49.65,49.65,1.655
0,Masculino,No,No,No,48,Si,Si,DSL,Si,No,No,Si,No,Si,un year,Si,transferencia,70.95,3629.2,0.04927083333333333
0,Masculino,No,No,No,1,Si,No,No,No,No,No,No,No,No,mes a mes,No,cheque por correo,19.2,19.2,0.64
0,Femenino,No,No,No,37,Si,Si,Fibra_optica,No,No,Si,No,Si,Si,mes a mes,Si,cheque electronico,100.05,3810.55,0.09013513513513513
0,Masculino,No,No,No,27,Si,Si,DSL,No,No,No,No,No,No,mes a mes,No,cheque por correo,49.0,1291.35,0.06049382716049383
1,Femenino,No,Si,Si,14,Si,No,Fibra_optica,No,Si,No,Si,No,Si,mes a mes,Si,tarjeta de credito,89.65,1208.35,0.21345238095238098
0,Masculino,No,No,No,72,Si,No,DSL,Si,Si,Si,Si,Si,No,dos years,Si,transferencia,75.1,5336.35,0.03476851851851852
1,Femenino,No,No,No,3,Si,No,Fibra_optica,No,No,No,No,Si,No,mes a mes,Si,cheque electronico,79.4,244.65,0.8822222222222222
0,Femenino,No,Si,Si,70,Si,Si,Fibra_optica,Si,Si,Si,No,Si,Si,un year,Si,tarjeta de credito,108.15,7930.55,0.051500000000000004
0,Masculino,No,Si,No,12,Si,No,No,No,No,No,No,No,No,un year,No,transferencia,19.8,202.25,0.055
0,Masculino,No,No,No,23,Si,No,No,No,No,No,No,No,No,un year,No,cheque por correo,20.45,481.1,0.02963768115942029
0,Femenino,No,Si,Si,23,Si,Si,DSL,No,Si,No,Si,Si,No,mes a mes,Si,tarjeta de credito,69.5,1652.1,0.10072463768115943
0,Femenino,No,No,No,40,Si,Si,Fibra_optica,No,Si,Si,No,Si,No,mes a mes,Si,transferencia,93.4,3756.4,0.07783333333333334
0,Masculino,No,No,No,11,Si,No,DSL,No,No,No,No,No,No,mes a mes,No,tarjeta de credito,45.2,492.0,0.136969696969697
0,Masculino,No,No,No,42,Si,No,No,No,No,No,No,No,No,un year,No,transferencia,19.8,849.9,0.015714285714285715
1,Masculino,No,Si,Si,34,Si,No,Fibra_optica,No,No,No,No,Si,No,mes a mes,No,cheque electronico,78.3,2564.3,0.07676470588235294
0,Femenino,No,No,Si,12,Si,Si,Fibra_optica,No,No,No,No,No,No,mes a mes,Si,cheque electronico,76.6,893.0,0.21277777777777776
0,Femenino,No,Si,No,71,Si,Si,Fibra_optica,Si,Si,No,No,Si,No,un year,No,cheque por correo,95.65,6856.95,0.04490610328638498
0,Masculino,No,Si,Si,39,No,sin servicio teleonico,DSL,No,No,No,No,No,No,un year,Si,tarjeta de credito,25.25,947.75,0.02158119658119658
0,Femenino,No,Si,Si,58,Si,Si,DSL,No,Si,No,No,Si,No,mes a mes,Si,transferencia,66.8,3970.4,0.038390804597701146
0,Femenino,No,Si,Si,61,Si,No,No,No,No,No,No,No,No,un year,No,tarjeta de credito,19.1,1143.8,0.010437158469945355
0,Masculino,Si,Si,No,19,Si,No,DSL,Si,No,Si,No,Si,No,mes a mes,No,transferencia,66.4,1286.05,0.11649122807017545
0,Masculino,No,No,No,61,Si,Si,Fibra_optica,Si,Si,Si,No,Si,Si,un year,Si,cheque electronico,107.75,6521.9,0.058879781420765026
1,Masculino,No,No,No,12,Si,No,DSL,No,No,No,Si,Si,No,un year,Si,cheque electronico,59.8,727.8,0.1661111111111111
0,Femenino,No,Si,Si,16,Si,No,No,No,No,No,No,No,No,dos years,No,cheque por correo,19.7,301.55,0.041041666666666664
0,Masculino,No,No,No,60,Si,No,DSL,Si,Si,Si,No,No,No,dos years,No,cheque electronico,61.4,3638.25,0.03411111111111111
0,Masculino,No,Si,No,52,Si,Si,DSL,No,Si,No,Si,No,No,mes a mes,No,transferencia,61.35,3169.55,0.03932692307692308
0,Femenino,No,No,No,17,Si,Si,DSL,No,No,Si,Si,Si,No,mes a mes,Si,cheque por correo,69.0,1108.0,0.13529411764705881
1,Femenino,Si,No,No,9,Si,No,Fibra_optica,No,No,No,No,Si,No,mes a mes,Si,cheque electronico,80.85,751.65,0.2994444444444444
0,Femenino,No,No,No,63,Si,Si,No,No,No,No,No,No,No,dos years,No,cheque por correo,24.2,1618.2,0.012804232804232804
0,Femenino,Si,No,No,46,Si,No,Fibra_optica,No,Si,Si,No,Si,No,un year,Si,transferencia,91.3,4126.35,0.06615942028985507
0,Femenino,No,No,No,42,No,sin servicio teleonico,DSL,Si,Si,Si,Si,No,Si,un year,Si,cheque electronico,54.75,2348.45,0.04345238095238095
0,Femenino,No,Si,Si,47,Si,No,No,No,No,No,No,No,No,dos years,No,cheque por correo,19.75,948.9,0.01400709219858156
0,Masculino,No,Si,No,51,Si,Si,Fibra_optica,No,Si,No,No,No,Si,un year,Si,tarjeta de credito,90.35,4614.55,0.05905228758169934
0,Masculino,No,Si,Si,45,Si,No,DSL,Si,No,No,Si,No,No,dos years,No,transferencia,54.65,2553.7,0.04048148148148148
0,Masculino,No,Si,Si,53,Si,No,No,No,No,No,No,No,No,un year,No,tarjeta de credito,20.2,1068.15,0.01270440251572327
1,Masculino,No,No,No,42,Si,Si,Fibra_optica,No,Si,No,No,Si,Si,mes a mes,Si,cheque electronico,101.75,4273.45,0.08075396825396826
1,Masculino,Si,No,No,5,Si,No,Fibra_optica,No,No,No,No,Si,Si,mes a mes,Si,cheque electronico,89.5,477.7,0.5966666666666667
0,Masculino,No,No,Si,1,Si,No,No,No,No,No,No,No,No,mes a mes,Si,cheque por correo,19.3,19.3,0.6433333333333333
1,Masculino,No,Si,No,54,Si,No,Fibra_optica,Si,Si,Si,Si,Si,Si,dos years,No,transferencia,109.75,6110.2,0.06774691358024691
1,Masculino,No,No,Si,1,Si,No,No,No,No,No,No,No,No,mes a mes,Si,cheque por correo,19.45,19.45,0.6483333333333333
0,Femenino,No,No,No,2,Si,No,DSL,No,No,No,No,No,No,mes a mes,No,cheque electronico,44.45,82.7,0.7408333333333333
0,Masculino,Si,Si,No,64,Si,Si,Fibra_optica,No,Si,Si,No,No,Si,mes a mes,Si,cheque electronico,94.25,6081.4,0.049088541666666666
0,Femenino,No,No,Si,10,No,sin servicio teleonico,DSL,Si,Si,No,Si,No,No,un year,No,cheque por correo,40.25,411.45,0.13416666666666666
0,Femenino,No,Si,No,34,Si,No,DSL,No,No,No,Si,No,No,mes a mes,No,transferencia,50.2,1815.3,0.049215686274509805
0,Femenino,Si,No,No,32,Si,No,Fibra_optica,No,No,No,No,No,Si,mes a mes,Si,cheque electronico,79.5,2665.0,0.0828125
1,Femenino,No,No,No,4,Si,Si,Fibra_optica,No,Si,No,Si,No,Si,mes a mes,Si,cheque electronico,93.5,362.2,0.7791666666666667
0,Femenino,No,No,No,54,Si,Si,Fibra_optica,No,Si,Si,No,Si,No,un year,Si,transferencia,94.75,5121.75,0.05848765432098765
1,Femenino,Si,Si,Si,47,Si,No,Fibra_optica,No,No,No,No,No,No,mes a mes,No,transferencia,70.55,3309.25,0.0500354609929078
0,Femenino,No,Si,Si,11,Si,Si,No,No,No,No,No,No,No,dos years,No,cheque por correo,25.0,300.7,0.07575757575757576
0,Masculino,No,Si,Si,8,Si,No,No,No,No,No,No,No,No,mes a mes,Si,cheque por correo,19.35,152.6,0.080625
1,Masculino,No,No,No,1,No,sin servicio teleonico,DSL,No,No,No,No,No,Si,mes a mes,Si,transferencia,35.25,35.25,1.175
0,Masculino,No,Si,Si,56,Si,Si,Fibra_optica,Si,Si,Si,Si,Si,Si,dos years,No,cheque por correo,115.85,6567.9,0.06895833333333333
0,Femenino,No,Si,No,34,Si,Si,No,No,No,No,No,No,No,mes a mes,No,cheque electronico,24.7,780.2,0.024215686274509804
0,Masculino,No,Si,No,1,Si,No,Fibra_optica,No,No,Si,No,No,No,mes a mes,No,tarjeta de credito,75.35,75.35,2.5116666666666663
1,Masculino,No,No,Si,9,Si,No,DSL,No,No,No,No,Si,No,mes a mes,No,cheque electronico,55.35,449.75,0.20500000000000002
0,Masculino,Si,Si,No,46,Si,Si,Fibra_optica,No,No,Si,No,Si,Si,mes a mes,Si,cheque electronico,98.85,4564.9,0.07163043478260869
0,Masculino,No,Si,No,60,Si,No,DSL,Si,No,No,No,Si,No,un year,Si,cheque por correo,59.8,3561.15,0.03322222222222222
0,Masculino,Si,Si,No,22,Si,No,Fibra_optica,No,No,No,No,Si,Si,mes a mes,Si,transferencia,89.75,1938.9,0.1359848484848485
0,Masculino,No,No,No,39,Si,No,No,No,No,No,No,No,No,un year,No,cheque por correo,19.9,791.15,0.017008547008547006
0,Masculino,No,Si,Si,2,Si,No,No,No,No,No,No,No,No,mes a mes,No,cheque por correo,20.3,40.25,0.3383333333333333
0,Masculino,No,Si,Si,35,Si,No,No,No,No,No,No,No,No,un year,No,transferencia,20.05,746.75,0.019095238095238096
0,Masculino,No,No,Si,25,Si,No,No,No,No,No,No,No,No,mes a mes,No,cheque por correo,20.8,460.2,0.027733333333333336
1,Masculino,No,No,No,1,Si,No,Fibra_optica,No,No,No,No,Si,No,mes a mes,Si,cheque electronico,79.55,79.55,2.6516666666666664
0,Femenino,Si,No,No,18,Si,No,No,No,No,No,No,No,No,un year,No,transferencia,20.35,369.6,0.03768518518518519
0,Masculino,No,No,No,3,Si,No,DSL,No,No,No,Si,No,No,mes a mes,Si,cheque por correo,50.5,147.75,0.5611111111111111
0,Masculino,No,No,Si,66,Si,No,No,No,No,No,No,No,No,dos years,No,tarjeta de credito,19.95,1269.1,0.010075757575757575
0,Masculino,No,No,No,29,Si,Si,Fibra_optica,No,No,No,No,No,Si,mes a mes,Si,cheque electronico,84.9,2516.2,0.09758620689655173
0,Masculino,No,No,No,66,Si,Si,No,No,No,No,No,No,No,dos years,No,cheque por correo,25.1,1697.7,0.012676767676767677
0,Femenino,No,Si,Si,8,Si,No,DSL,No,No,No,No,No,No,mes a mes,Si,cheque electronico,45.45,411.75,0.18937500000000002
0,Femenino,Si,No,No,45,Si,Si,DSL,Si,No,No,Si,No,Si,mes a mes,Si,cheque electronico,70.05,3062.45,0.05188888888888889
1,Femenino,Si,No,No,1,No,sin servicio teleonico,DSL,No,No,No,No,No,No,mes a mes,Si,cheque electronico,25.2,25.2,0.84
0,Femenino,No,No,No,18,Si,No,Fibra_optica,No,No,No,No,No,No,mes a mes,Si,cheque electronico,71.1,1247.75,0.13166666666666665
1,Masculino,Si,Si,No,29,Si,Si,Fibra_optica,No,Si,Si,No,No,Si,mes a mes,Si,cheque electronico,95.9,2745.2,0.11022988505747128
0,Masculino,No,Si,Si,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,dos years,No,tarjeta de credito,89.85,6562.9,0.04159722222222222
0,Femenino,No,Si,Si,34,Si,No,No,No,No,No,No,No,No,un year,Si,transferencia,20.1,682.1,0.019705882352941177
0,Masculino,No,No,No,2,No,sin servicio teleonico,DSL,No,No,No,No,No,No,mes a mes,No,cheque por correo,24.3,38.45,0.405
0,Femenino,Si,Si,No,72,Si,Si,Fibra_optica,Si,Si,Si,Si,Si,Si,dos years,Si,transferencia,114.65,8333.95,0.053078703703703704
0,Femenino,No,No,No,10,Si,No,No,No,No,No,No,No,No,mes a mes,Si,cheque por correo,20.55,187.35,0.0685
0,Masculino,No,Si,No,51,Si,Si,Fibra_optica,No,Si,Si,No,Si,Si,un year,Si,transferencia,106.8,5498.8,0.06980392156862746
0,Masculino,No,Si,Si,28,Si,No,Fibra_optica,No,No,Si,No,Si,No,mes a mes,No,cheque electronico,85.45,2289.9,0.10172619047619048
0,Femenino,No,No,No,13,Si,No,No,No,No,No,No,No,No,dos years,Si,cheque por correo,20.4,261.3,0.052307692307692305
0,Femenino,No,No,Si,2,Si,No,DSL,Si,No,No,No,No,Si,mes a mes,Si,tarjeta de credito,61.2,125.95,1.02
1,Femenino,Si,No,No,17,Si,No,Fibra_optica,No,Si,Si,No,Si,No,mes a mes,Si,cheque electronico,89.15,1496.9,0.17480392156862745
1,Femenino,No,No,No,1,Si,No,DSL,Si,No,No,No,No,No,mes a mes,Si,tarjeta de credito,48.6,48.6,1.62
0,Masculino,No,Si,Si,15,Si,Si,DSL,No,No,Si,Si,No,No,mes a mes,Si,transferencia,59.65,867.1,0.13255555555555557
0,Femenino,No,No,No,2,Si,No,No,No,No,No,No,No,No,mes a mes,No,cheque por correo,19.95,38.15,0.33249999999999996
0,Femenino,No,No,No,12,Si,No,DSL,No,Si,No,Si,No,No,mes a mes,Si,cheque electronico,54.3,654.5,0.15083333333333332
1,Femenino,No,No,Si,5,Si,No,DSL,No,No,No,No,No,No,mes a mes,No,cheque por correo,46.0,221.7,0.30666666666666664
